index,Winddir,Windspeed,Gust_Factor,visability,Condition,cloudCover,ceiling,temp,dew,alt,Conditions
561,90,16,22,10,0,0,0,-4,-8,3013,P
562,210,4,0,10,0,0,0,-14,-18,3006,P
563,130,12,19,10,0,7,25,-1,-4,2987,P
564,90,16,22,10,0,0,0,-4,-8,3013,P
565,80,13,0,10,0,0,0,-4,-7,3015,P
566,110,11,0,10,0,0,0,3,-2,3004,P
567,240,3,0,10,0,0,0,-27,-29,3009,P
568,10,6,0,5,10,6,13,1,-2,2990,P
569,60,14,19,10,0,0,0,1,-6,3007,P
570,0,0,0,10,0,7,65,2,-6,3013,P
571,60,13,0,10,0,7,30,-2,-6,3012,P
572,50,6,0,10,0,7,28,-3,-5,3011,P
573,60,9,0,6,10,7,22,-2,-4,3009,P
574,0,0,0,10,0,0,0,3,-6,3012,P
575,80,8,0,9,0,0,0,2,-2,3000,P
576,80,11,0,7,0,0,0,-1,-4,3010,P
577,70,4,0,1,3.25,8,14,-4,-5,3015,P
578,60,13,0,10,0,0,0,-1,-5,3012,P
579,80,17,0,10,0,0,0,1,-1,2990,P
580,10,5,0,8,0,7,41,1,-2,3004,P
581,0,0,0,10,0,7,65,2,-6,3013,P
582,0,0,0,10,0,0,0,0,-8,3004,P
583,10,4,0,10,0,7,70,3,-4,3013,P
584,360,5,0,10,0,0,0,2,-4,3013,P
585,50,2,0,10,0,6,44,2,-4,3013,P
586,70,6,0,4,3.25,6,38,-4,-6,3014,P
587,80,11,0,7,0,0,0,-1,-4,3010,P
588,60,13,0,10,0,7,30,-2,-6,3012,P
589,90,4,0,4,1.25,7,4,1,0,2995,P
590,80,8,0,10,0,0,0,-6,-7,3001,P
591,0,0,0,10,0,0,0,-7,-8,3010,P
592,180,4,0,8,1.25,6,26,4,2,2987,P
593,0,0,0,10,0,0,0,-7,-8,3010,P
594,70,14,0,10,2.25,7,8,1,-1,2996,P
595,290,6,0,1,3.25,8,12,-7,-8,2968,P
596,10,7,0,9,3.25,7,36,-14,-17,2970,P
597,0,0,0,8,0,7,55,2,2,2993,P
598,90,14,24,10,0,0,0,-2,-6,3013,P
599,90,15,21,10,0,0,0,-2,-6,3018,P
600,130,5,0,6,10,5,15,-7,-9,2993,P
601,40,11,0,8,3.25,7,32,1,-4,3010,P
602,360,2,0,10,0,0,0,-2,-3,2954,P
603,0,19,0,9,0,0,0,2,-4,2971,P
604,70,16,0,10,0,0,0,0,-6,3014,P
605,130,19,0,3,10,7,4,-2,-2,2987,P
606,120,11,0,3,1.25,6,8,3,2,3004,P
607,90,6,0,6,1.25,7,4,2,1,3004,P
608,110,4,0,10,0,0,0,12,9,2994,P
609,60,10,0,10,0,0,0,2,-1,2993,P
